GeneSymbol	FPKM
0610007P14Rik	15.458
0610008F07Rik	0.056
0610009B22Rik	3.814
0610009D07Rik	15.643
0610009O20Rik	5.554
0610010B08Rik	10.257
0610010F05Rik	10.815
0610010K14Rik	12.849
0610011F06Rik	11.369
0610012G03Rik	7.633
0610012H03Rik	0.29
0610030E20Rik	9.551
0610031J06Rik	9.998
0610037L13Rik	9.192
0610038B21Rik	4.841
0610039K10Rik	1.379
0610040B10Rik	0.838
0610040J01Rik	0.241
1100001G20Rik	0.561
1110001A16Rik	10.901
1110001J03Rik	7.155
1110002L01Rik	7.326
1110004E09Rik	9.451
1110004F10Rik	20.049
1110006O24Rik	1.868
1110007C09Rik	5.357
1110008F13Rik	16.039
1110008J03Rik	8.638
1110008L16Rik	6.052
1110008P14Rik	10.354
1110012L19Rik	4.342
1110017D15Rik	0.498
1110018G07Rik	5.393
1110020A21Rik	0.166
1110032A03Rik	2.303
1110032F04Rik	0.413
1110034G24Rik	0.64
1110037F02Rik	12.258
1110038B12Rik	52.02
1110038F14Rik	11.157
1110051M20Rik	8.058
1110057K04Rik	10.015
1110058L19Rik	3.748
1110059E24Rik	9.327
1110059G10Rik	2.109
1110059M19Rik	0.037
1110065P20Rik	10.325
1190002N15Rik	6.609
1190003J15Rik	0.243
1190003K10Rik	0.261
1190005I06Rik	3.071
1190007I07Rik	4.684
1200011I18Rik	8.236
1200014J11Rik	5.376
1300002K09Rik	0.054
1300017J02Rik	0.018
1300018J18Rik	7.762
1500004A13Rik	7.947
1500009C09Rik	0
1500009L16Rik	0.137
1500011B03Rik	7.652
1500011K16Rik	6.223
1500012F01Rik	34.816
1500015A07Rik	3.825
1500015O10Rik	0.923
1500017E21Rik	1.11
1500032L24Rik	21.569
1600002H07Rik	8.174
1600002K03Rik	5.476
1600012H06Rik	11.499
1600014C10Rik	1.777
1600014K23Rik	0.195
1600015I10Rik	0.033
1600016N20Rik	0.199
1600029D21Rik	1.243
1600029I14Rik	0.996
1600029O15Rik	2.673
1700001C02Rik	0.123
1700001C19Rik	0.33
1700001F09Rik	0.093
1700001G17Rik	1.014
1700001J03Rik	0.053
1700001J11Rik	0.996
1700001K19Rik	1.675
1700001K23Rik	1.344
1700001L05Rik	0.777
1700001L19Rik	0.023
1700001O22Rik	0.393
1700001P01Rik	6.042
1700003E16Rik	0.329
1700003F12Rik	1.454
1700003G18Rik	0.132
1700003H04Rik	0
1700003M02Rik	0.072
1700006A11Rik	0.087
1700006E09Rik	0
