GeneSymbol	FPKM
0610007P14Rik	53.872
0610008F07Rik	0.128
0610009B22Rik	29.804
0610009D07Rik	58.375
0610009O20Rik	8.311
0610010B08Rik	5.232
0610010F05Rik	22.525
0610010K14Rik	22.245
0610011F06Rik	47.945
0610012G03Rik	27.311
0610012H03Rik	0.268
0610030E20Rik	18.199
0610031J06Rik	37.084
0610037L13Rik	19.826
0610038B21Rik	3.273
0610039K10Rik	3.653
0610040B10Rik	3.354
0610040J01Rik	0.443
1100001G20Rik	0.405
1110001A16Rik	29.448
1110001J03Rik	33.025
1110002L01Rik	28.022
1110004E09Rik	42.481
1110004F10Rik	61.514
1110006O24Rik	2.945
1110007C09Rik	14.739
1110008F13Rik	19.193
1110008J03Rik	36.797
1110008L16Rik	16.137
1110008P14Rik	51.108
1110012L19Rik	23.933
1110017D15Rik	0.534
1110018G07Rik	17.256
1110020A21Rik	0.605
1110032A03Rik	5.779
1110032F04Rik	0.387
1110034G24Rik	4.041
1110037F02Rik	32.845
1110038B12Rik	38.358
1110038F14Rik	28.791
1110051M20Rik	14.496
1110057K04Rik	11.07
1110058L19Rik	22.252
1110059E24Rik	51.087
1110059G10Rik	8.158
1110059M19Rik	0.16
1110065P20Rik	42.365
1190002N15Rik	34.27
1190003J15Rik	0.439
1190003K10Rik	0.135
1190005I06Rik	25.569
1190007I07Rik	13.887
1200011I18Rik	28.806
1200014J11Rik	8.52
1300002K09Rik	0.174
1300017J02Rik	0.127
1300018J18Rik	30.521
1500004A13Rik	3.678
1500009C09Rik	0
1500009L16Rik	0.653
1500011B03Rik	12.726
1500011K16Rik	24.935
1500012F01Rik	57.367
1500015A07Rik	4.46
1500015O10Rik	0.831
1500017E21Rik	2.279
1500032L24Rik	47.537
1600002H07Rik	24.447
1600002K03Rik	33.77
1600012H06Rik	7.525
1600014C10Rik	10.473
1600014K23Rik	0
1600015I10Rik	0.059
1600016N20Rik	0.079
1600029D21Rik	1.429
1600029I14Rik	0.796
1600029O15Rik	3.662
1700001C02Rik	0.196
1700001C19Rik	0.571
1700001F09Rik	0.067
1700001G17Rik	1.93
