GeneSymbol	FPKM
0610007P14Rik	54.194
0610008F07Rik	0.07
0610009B22Rik	29.699
0610009D07Rik	42.669
0610009O20Rik	5.718
0610010B08Rik	6.646
0610010F05Rik	24.178
0610010K14Rik	15.108
0610011F06Rik	47.068
0610012G03Rik	33.158
0610012H03Rik	0.101
0610030E20Rik	8.899
0610031J06Rik	26.527
0610037L13Rik	17.925
0610038B21Rik	2.217
0610039K10Rik	2.997
0610040B10Rik	1.212
0610040J01Rik	0.174
1100001G20Rik	0.259
1110001A16Rik	33.957
1110001J03Rik	26.89
1110002L01Rik	36.673
1110004E09Rik	25.093
1110004F10Rik	71.667
1110006O24Rik	1.591
1110007C09Rik	12.118
1110008F13Rik	17.142
1110008J03Rik	36.585
1110008L16Rik	12.853
1110008P14Rik	28.175
1110012L19Rik	21.68
1110017D15Rik	0.372
1110018G07Rik	18.773
1110020A21Rik	0.473
1110032A03Rik	3.094
1110032F04Rik	0.329
1110034G24Rik	3.733
1110037F02Rik	33.715
1110038B12Rik	24.747
1110038F14Rik	21.988
1110051M20Rik	14.599
1110057K04Rik	9.545
1110058L19Rik	24.131
1110059E24Rik	36.792
1110059G10Rik	5.199
1110059M19Rik	0
1110065P20Rik	43.913
1190002N15Rik	31.66
1190003J15Rik	0.096
1190003K10Rik	0.105
1190005I06Rik	21.091
1190007I07Rik	12.324
1200011I18Rik	28.835
1200014J11Rik	6.215
1300002K09Rik	0.127
1300017J02Rik	0.103
1300018J18Rik	28.214
1500004A13Rik	2.508
1500009C09Rik	0
1500009L16Rik	0.096
1500011B03Rik	9.79
1500011K16Rik	24.952
1500012F01Rik	52.409
1500015A07Rik	4.693
1500015O10Rik	0.867
1500017E21Rik	2.387
1500032L24Rik	48.545
1600002H07Rik	22.523
1600002K03Rik	26.839
1600012H06Rik	7.07
1600014C10Rik	9.739
1600014K23Rik	0
1600015I10Rik	0.046
1600016N20Rik	0.223
1600029D21Rik	0.922
1600029I14Rik	0.272
1600029O15Rik	3.6
1700001C02Rik	0
1700001C19Rik	0.268
1700001F09Rik	0
1700001G17Rik	2.234
1700001J03Rik	0.075
1700001J11Rik	2.475
1700001K19Rik	1.905
1700001K23Rik	0.882
1700001L05Rik	0.447
1700001L19Rik	0.032
1700001O22Rik	0.393
1700001P01Rik	5.5
1700003E16Rik	0.279
1700003F12Rik	0.935
1700003G18Rik	0.197
1700003H04Rik	0
1700003M02Rik	0
1700006A11Rik	0.058
1700006E09Rik	0.085
1700007B14Rik	0.027
1700007G11Rik	0
1700007K09Rik	0.3
1700007K13Rik	0.264
1700008A04Rik	0.265
1700008F21Rik	0.319
1700008I05Rik	0.032
1700008J07Rik	4.179
1700008O03Rik	0.143
1700008P02Rik	0
1700009J07Rik	0.186
1700009N14Rik	0.767
1700009P17Rik	0.429
1700010B08Rik	0.435
1700010D01Rik	0.237
1700010I14Rik	0.105
1700011A15Rik	0.406
1700011E24Rik	0.485
1700011H14Rik	0.174
1700011I03Rik	0.061
1700011L22Rik	0.06
1700012A03Rik	0.118
1700012B07Rik	0.091
1700012B09Rik	0.129
1700012B15Rik	3.626
1700012D14Rik	0.49
1700012L04Rik	0.109
1700012P22Rik	0.076
1700013D24Rik	0.132
1700013F07Rik	0.671
1700013G24Rik	0.059
1700013H16Rik	0.044
1700015E13Rik	0.165
1700015F17Rik	0.205
1700016C15Rik	0.868
1700016D06Rik	1.107
1700016H13Rik	0.053
1700016K19Rik	0.246
1700017B05Rik	6.015
1700017D01Rik	0.688
1700017N19Rik	0.167
1700018A04Rik	0.06
1700018A14Rik	0.095
1700018B08Rik	0
1700018B24Rik	0.034
1700018C11Rik	0
1700018F24Rik	0.048
1700018L02Rik	8.181
1700019A02Rik	0.353
1700019B03Rik	0
1700019D03Rik	0
1700019G17Rik	0.184
1700019L03Rik	12.92
1700019M22Rik	0
1700019N19Rik	0.22
1700019O17Rik	0.103
1700020A23Rik	0.582
1700020D05Rik	0.225
1700020I14Rik	26.58
1700020L24Rik	0.801
1700020N01Rik	0.139
1700020N18Rik	0.108
1700021F05Rik	44.744
1700021F07Rik	0
1700021K19Rik	12.828
1700022A21Rik	0.047
1700022I11Rik	0.318
