GeneSymbol	FPKM
0610007P14Rik	52.731
0610008F07Rik	0
0610009B22Rik	29.177
0610009D07Rik	41.42
0610009O20Rik	9.192
0610010B08Rik	5.563
0610010F05Rik	32.231
0610010K14Rik	24.961
0610011F06Rik	52.68
0610012G03Rik	31.136
0610012H03Rik	0.531
0610030E20Rik	14.819
0610031J06Rik	36.701
0610037L13Rik	24.505
0610038B21Rik	3.626
0610039K10Rik	4.609
0610040B10Rik	1.557
0610040J01Rik	0.419
1100001G20Rik	1.233
1110001A16Rik	30.039
1110001J03Rik	37.433
1110002L01Rik	29.065
1110004E09Rik	37.555
1110004F10Rik	59.962
1110006O24Rik	3.251
1110007C09Rik	16.562
1110008F13Rik	23.409
1110008J03Rik	47.224
1110008L16Rik	22.01
1110008P14Rik	46.386
1110012L19Rik	23.055
1110017D15Rik	0.466
1110018G07Rik	18.154
1110020A21Rik	0.526
1110032A03Rik	6.838
1110032F04Rik	0.597
1110034G24Rik	4.381
1110037F02Rik	33.663
1110038B12Rik	27.623
1110038F14Rik	33.432
1110051M20Rik	14.961
1110057K04Rik	10.963
1110058L19Rik	29.584
1110059E24Rik	42.127
1110059G10Rik	7.541
1110059M19Rik	0.109
1110065P20Rik	46.963
1190002N15Rik	41.12
1190003J15Rik	0.179
1190003K10Rik	0.341
1190005I06Rik	29.264
1190007I07Rik	13.464
1200011I18Rik	32.155
1200014J11Rik	7.602
1300002K09Rik	0.161
1300017J02Rik	0.213
1300018J18Rik	36.605
1500004A13Rik	3.33
1500009C09Rik	0
1500009L16Rik	0.68
1500011B03Rik	16.505
1500011K16Rik	25.015
1500012F01Rik	58.496
1500015A07Rik	5.667
1500015O10Rik	0.643
1500017E21Rik	2.286
1500032L24Rik	51.29
1600002H07Rik	24.966
1600002K03Rik	27.373
1600012H06Rik	7.331
1600014C10Rik	15.051
1600014K23Rik	0.064
1600015I10Rik	0.151
1600016N20Rik	0.344
1600029D21Rik	1.219
1600029I14Rik	1.002
1600029O15Rik	4.342
1700001C02Rik	0.191
1700001C19Rik	0.446
1700001F09Rik	0.341
1700001G17Rik	2.431
1700001J03Rik	0.484
1700001J11Rik	2.483
1700001K19Rik	3.258
1700001K23Rik	1.159
1700001L05Rik	0.412
1700001L19Rik	0.416
1700001O22Rik	0.714
1700001P01Rik	8.713
1700003E16Rik	0.52
1700003F12Rik	2.837
1700003G18Rik	0.183
1700003H04Rik	0.055
1700003M02Rik	0.023
1700006A11Rik	0.108
1700006E09Rik	0.082
1700007B14Rik	0.123
1700007G11Rik	0.112
1700007K09Rik	0.701
1700007K13Rik	0.589
1700008A04Rik	0
1700008F21Rik	0.461
1700008I05Rik	0.15
1700008J07Rik	9.166
1700008O03Rik	0.132
1700008P02Rik	0.136
1700009J07Rik	0.148
1700009N14Rik	1.064
1700009P17Rik	0.341
1700010B08Rik	0.606
1700010D01Rik	0.245
1700010I14Rik	0.136
1700011A15Rik	0.377
1700011E24Rik	1.27
1700011H14Rik	0.406
1700011I03Rik	0.478
1700011L22Rik	0.165
1700012A03Rik	0.116
1700012B07Rik	0.072
1700012B09Rik	0.248
1700012B15Rik	4.168
1700012D14Rik	0.907
1700012L04Rik	0.248
1700012P22Rik	0.121
1700013D24Rik	0.332
1700013F07Rik	1.369
1700013G24Rik	0.329
1700013H16Rik	0.173
1700015E13Rik	0.243
1700015F17Rik	0.33
1700016C15Rik	2.818
1700016D06Rik	2.351
1700016H13Rik	0.297
1700016K19Rik	0.44
1700017B05Rik	10.835
1700017D01Rik	0.483
1700017N19Rik	0.245
1700018A04Rik	0.18
1700018A14Rik	0.5
1700018B08Rik	0.292
1700018B24Rik	0.06
1700018C11Rik	0.082
1700018F24Rik	0.19
1700018L02Rik	9.648
1700019A02Rik	0.094
1700019B03Rik	0.393
1700019D03Rik	0.152
1700019G17Rik	0.39
1700019L03Rik	14.405
1700019M22Rik	0
1700019N19Rik	0.193
1700019O17Rik	0.133
1700020A23Rik	1.106
1700020D05Rik	1.885
1700020I14Rik	39.441
1700020L24Rik	2.459
1700020N01Rik	0.166
1700020N18Rik	0
1700021F05Rik	52.191
1700021F07Rik	0
1700021K19Rik	14.732
1700022A21Rik	0.286
1700022I11Rik	1.149
1700022P22Rik	0.495
1700023A16Rik	0.205
1700023E05Rik	0.231
1700024G13Rik	0.43
1700024P04Rik	0
1700024P16Rik	5.865
1700025C18Rik	0.278
1700025E21Rik	0.992
1700025F22Rik	0.164
1700025G04Rik	5.814
1700026D08Rik	0.246
1700026D11Rik	0.092
1700026L06Rik	0.412
1700028B04Rik	0.122
1700028J19Rik	1.084
1700028K03Rik	3.842
1700028M03Rik	0.244
1700028P14Rik	0
1700029F12Rik	0.251
1700029H14Rik	0.521
1700029I15Rik	3.692
1700029J07Rik	6.805
1700029M20Rik	0.231
1700029P11Rik	0.613
1700030C10Rik	2.451
1700030F18Rik	0.172
1700030J22Rik	1.138
1700030K09Rik	30.229
1700031F05Rik	0.216
1700031M16Rik	0.164
1700034E13Rik	0.492
1700034F02Rik	2.162
1700034H15Rik	1.765
1700034I23Rik	0.754
1700034J05Rik	1.998
1700034O15Rik	0.365
1700037C18Rik	4.837
1700037H04Rik	41.325
1700039E15Rik	0.218
1700040L02Rik	0.273
1700041C23Rik	0.3
1700042B14Rik	0.268
1700042G07Rik	0.312
1700044K03Rik	0.345
1700045I19Rik	0.186
1700047I17Rik2	30.628
1700047M11Rik	0.152
1700048O20Rik	8.552
1700049E15Rik	0.257
1700049G17Rik	2.877
1700049L16Rik	0.227
1700052I22Rik	0
1700052K11Rik	13.171
1700052N19Rik	8.382
1700054K19Rik	0.263
1700054O13Rik	0
1700056E22Rik	0.857
1700057G04Rik	0.185
1700058G18Rik	0.307
1700060C20Rik	0.301
1700061G19Rik	0.574
1700065D16Rik	1.403
1700065I17Rik	1.057
1700066B19Rik	0.27
1700066M21Rik	24.573
1700066O22Rik	0.121
1700067K01Rik	4.81
1700067P10Rik	0.132
1700069L16Rik	0.096
1700071K01Rik	0.601
1700073E17Rik	0.171
1700074P13Rik	0.11
1700080E11Rik	0.183
1700080O16Rik	0.119
1700084C01Rik	0.231
1700084E18Rik	2.501
1700084J12Rik	2.95
